config,sigma,Df,N,kf,attempt,seed,success,n_particles,max_residual_overlap,n_overlapping_pairs,measured_rg,rg_error_pct,filepath
vanilla,1.5,2.0,8,0.6,2,2011500258,True,8,0.0,0,3.5750467898203606,-18.23427551896885,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p00__N_8/fracval_N8_Df2p00_kf0p60_rpg1p0_rpgstd1p50_agg2_20260731-042713-470669.dat
vanilla,1.5,2.0,8,0.6,0,256826933,True,8,0.0,0,2.7311793818771575,-15.775353466918979,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p00__N_8/fracval_N8_Df2p00_kf0p60_rpg1p0_rpgstd1p50_agg0_20260731-042713-477214.dat
vanilla,1.5,2.0,8,0.6,1,1547339967,True,8,0.0,0,3.059439679638121,-17.329683572678224,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p00__N_8/fracval_N8_Df2p00_kf0p60_rpg1p0_rpgstd1p50_agg1_20260731-042713-482179.dat
vanilla,1.5,2.2,8,0.6,0,1564631272,True,8,0.0,0,2.4562232773900203,-11.24160081822725,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p50_agg0_20260731-042713-488491.dat
vanilla,1.5,1.8,8,0.6,3,761257029,True,8,0.0,0,2.7578697272297155,-35.41055320230841,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_1p80__N_8/fracval_N8_Df1p80_kf0p60_rpg1p0_rpgstd1p50_agg3_20260731-042713-495990.dat
vanilla,1.5,2.0,8,0.6,4,2058834637,True,8,0.0,0,4.018012077327802,-24.25719750106295,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p00__N_8/fracval_N8_Df2p00_kf0p60_rpg1p0_rpgstd1p50_agg4_20260731-042713-501834.dat
vanilla,1.5,2.0,8,0.6,3,448098195,True,8,0.0,0,3.503250643006707,-14.06598932007858,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p00__N_8/fracval_N8_Df2p00_kf0p60_rpg1p0_rpgstd1p50_agg3_20260731-042713-512022.dat
vanilla,1.5,2.2,8,0.6,1,487774033,True,8,0.0,0,2.8847139129107267,-13.299677586626476,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p50_agg1_20260731-042713-517005.dat
vanilla,1.5,2.2,8,0.6,2,1747005651,True,8,0.0,0,2.73064399230453,-13.579659877303364,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p50_agg2_20260731-042713-522932.dat
vanilla,1.5,2.2,8,0.6,3,965968472,True,8,0.0,0,2.922908008001256,-14.531599243599667,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p50_agg3_20260731-042713-533372.dat
vanilla,1.5,2.2,8,0.6,4,135527063,True,8,0.0,0,3.6099864891220164,-12.480993375683221,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p20__N_8/fracval_N8_Df2p20_kf0p60_rpg1p0_rpgstd1p50_agg4_20260731-042713-543196.dat
vanilla,1.5,2.4,8,0.6,0,1814982921,True,8,0.0,0,2.1700362055019067,-8.794021777890606,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p50_agg0_20260731-042713-554304.dat
vanilla,1.5,2.4,8,0.6,1,543255416,True,8,0.0,0,2.5977676098842264,-11.114959373211239,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p50_agg1_20260731-042713-581088.dat
vanilla,1.5,2.4,8,0.6,2,1914295307,True,8,0.0,0,2.913098362801779,-13.464370992169133,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p50_agg2_20260731-042713-590255.dat
vanilla,1.5,2.4,8,0.6,3,804638782,True,8,0.0,0,3.104902157129584,-9.5872343704567,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p50_agg3_20260731-042713-600455.dat
vanilla,1.5,2.6,8,0.6,1,494726263,True,8,0.0,0,2.5840641146866403,-9.583533317347388,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p50_agg1_20260731-042713-619215.dat
vanilla,1.5,2.4,8,0.6,4,1917726209,True,8,0.0,0,2.549475608138753,-10.953102836670736,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p40__N_8/fracval_N8_Df2p40_kf0p60_rpg1p0_rpgstd1p50_agg4_20260731-042713-632512.dat
vanilla,1.5,2.6,8,0.6,0,742311863,True,8,0.0,0,2.811811057876333,-7.049427313860951,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p50_agg0_20260731-042713-640223.dat
vanilla,1.5,2.6,8,0.6,2,1233468834,True,8,0.0,0,2.8967344520855143,-8.48256103517741,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p50_agg2_20260731-042713-651717.dat
vanilla,1.0,1.4,16,1.8,0,197509517,True,16,0.0,0,4.7357955191662695,-0.5408498421805188,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p40__N_16/fracval_N16_Df1p40_kf1p80_rpg1p0_rpgstd1p00_agg0_20260731-042713-668457.dat
vanilla,1.5,2.6,8,0.6,3,244470242,True,8,0.0,0,2.1506596953767465,-9.199303064302445,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p50_agg3_20260731-042713-675795.dat
vanilla,1.5,2.6,8,0.6,4,2020098738,True,8,0.0,0,2.952128938324132,-6.65188862572342,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p50__Df_2p60__N_8/fracval_N8_Df2p60_kf0p60_rpg1p0_rpgstd1p50_agg4_20260731-042713-682087.dat
vanilla,1.0,1.4,16,1.8,2,1194992922,True,16,0.0,0,4.7357955191662695,-0.5408498421805188,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p40__N_16/fracval_N16_Df1p40_kf1p80_rpg1p0_rpgstd1p00_agg2_20260731-042713-687368.dat
vanilla,1.0,1.4,16,1.8,1,2036130655,True,16,0.0,0,4.73579551916627,-0.5408498421805001,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p40__N_16/fracval_N16_Df1p40_kf1p80_rpg1p0_rpgstd1p00_agg1_20260731-042713-692512.dat
vanilla,1.0,1.4,16,1.8,3,1265875479,True,16,0.0,0,4.7357955191662695,-0.5408498421805188,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p40__N_16/fracval_N16_Df1p40_kf1p80_rpg1p0_rpgstd1p00_agg3_20260731-042713-702475.dat
vanilla,1.0,1.4,16,1.8,4,544330776,True,16,0.0,0,4.73579551916627,-0.5408498421805001,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p40__N_16/fracval_N16_Df1p40_kf1p80_rpg1p0_rpgstd1p00_agg4_20260731-042713-713882.dat
vanilla,1.0,1.6,16,1.4,0,188234002,True,16,0.0,0,4.491277946296558,-2.022813153584877,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p60__N_16/fracval_N16_Df1p60_kf1p40_rpg1p0_rpgstd1p00_agg0_20260731-042713-719054.dat
vanilla,1.0,1.6,16,1.4,1,1200735178,True,16,0.0,0,4.491277946296559,-2.022813153584858,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p60__N_16/fracval_N16_Df1p60_kf1p40_rpg1p0_rpgstd1p00_agg1_20260731-042713-722823.dat
vanilla,1.0,1.6,16,1.4,2,2126646662,True,16,0.0,0,4.491277946296559,-2.022813153584858,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p60__N_16/fracval_N16_Df1p60_kf1p40_rpg1p0_rpgstd1p00_agg2_20260731-042713-726729.dat
vanilla,1.0,1.6,16,1.4,3,423008358,True,16,0.0,0,4.491277946296558,-2.022813153584877,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p60__N_16/fracval_N16_Df1p60_kf1p40_rpg1p0_rpgstd1p00_agg3_20260731-042713-733256.dat
vanilla,1.0,1.6,16,1.4,4,1343635976,True,16,0.0,0,4.491277946296559,-2.022813153584858,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_1p60__N_16/fracval_N16_Df1p60_kf1p40_rpg1p0_rpgstd1p00_agg4_20260731-042713-743088.dat
vanilla,1.0,2.0,16,0.6,1,639870566,True,16,0.0,0,4.716752157967194,-8.660487220025818,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p00__N_16/fracval_N16_Df2p00_kf0p60_rpg1p0_rpgstd1p00_agg1_20260731-042713-749970.dat
vanilla,1.0,2.0,16,0.6,3,1232549707,True,16,0.0,0,4.7167521579671945,-8.6604872200258,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p00__N_16/fracval_N16_Df2p00_kf0p60_rpg1p0_rpgstd1p00_agg3_20260731-042713-757508.dat
vanilla,1.0,2.0,16,0.6,0,967320020,True,16,0.0,0,4.716752157967194,-8.660487220025818,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p00__N_16/fracval_N16_Df2p00_kf0p60_rpg1p0_rpgstd1p00_agg0_20260731-042713-768166.dat
vanilla,1.0,2.2,16,0.6,0,224910799,True,16,0.0,0,4.121576543615256,-7.339260012632129,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p20__N_16/fracval_N16_Df2p20_kf0p60_rpg1p0_rpgstd1p00_agg0_20260731-042713-772650.dat
vanilla,1.0,2.2,16,0.6,1,437521216,True,16,0.0,0,4.121576543615256,-7.339260012632129,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p20__N_16/fracval_N16_Df2p20_kf0p60_rpg1p0_rpgstd1p00_agg1_20260731-042713-794411.dat
vanilla,1.0,2.2,16,0.6,2,1884905771,True,16,0.0,0,4.121576543615256,-7.339260012632129,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p20__N_16/fracval_N16_Df2p20_kf0p60_rpg1p0_rpgstd1p00_agg2_20260731-042713-830309.dat
vanilla,1.0,2.2,16,0.6,3,1948849311,True,16,0.0,0,4.121576543615256,-7.339260012632129,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p20__N_16/fracval_N16_Df2p20_kf0p60_rpg1p0_rpgstd1p00_agg3_20260731-042713-837833.dat
vanilla,1.0,2.2,16,0.6,4,460934301,True,16,0.0,0,4.121576543615256,-7.339260012632129,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p20__N_16/fracval_N16_Df2p20_kf0p60_rpg1p0_rpgstd1p00_agg4_20260731-042713-859711.dat
vanilla,1.0,2.4,16,0.6,0,574757188,True,16,0.0,0,3.7087211716329307,-5.578576177342344,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p40__N_16/fracval_N16_Df2p40_kf0p60_rpg1p0_rpgstd1p00_agg0_20260731-042713-869392.dat
vanilla,1.0,2.4,16,0.6,1,1014927692,True,16,0.0,0,3.7087211716329307,-5.578576177342344,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p40__N_16/fracval_N16_Df2p40_kf0p60_rpg1p0_rpgstd1p00_agg1_20260731-042713-915037.dat
vanilla,1.0,2.4,16,0.6,2,1443399982,True,16,0.0,0,3.708721171632931,-5.578576177342333,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p40__N_16/fracval_N16_Df2p40_kf0p60_rpg1p0_rpgstd1p00_agg2_20260731-042713-922841.dat
vanilla,1.0,2.0,16,0.6,4,453417623,True,16,0.0,0,4.716752157967194,-8.660487220025818,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p00__N_16/fracval_N16_Df2p00_kf0p60_rpg1p0_rpgstd1p00_agg4_20260731-042713-935357.dat
vanilla,1.0,2.4,16,0.6,3,1968020881,True,16,0.0,0,3.7087211716329302,-5.578576177342355,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p40__N_16/fracval_N16_Df2p40_kf0p60_rpg1p0_rpgstd1p00_agg3_20260731-042713-945408.dat
vanilla,1.0,2.6,16,0.6,0,1449303292,True,16,0.0,0,3.412011378096689,-3.4925238114334207,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p60__N_16/fracval_N16_Df2p60_kf0p60_rpg1p0_rpgstd1p00_agg0_20260731-042713-954093.dat
vanilla,1.0,2.4,16,0.6,4,1996810930,True,16,0.0,0,3.7087211716329307,-5.578576177342344,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p40__N_16/fracval_N16_Df2p40_kf0p60_rpg1p0_rpgstd1p00_agg4_20260731-042713-960711.dat
vanilla,1.0,2.6,16,0.6,1,912793546,True,16,0.0,0,3.4120113780966883,-3.4925238114334456,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p60__N_16/fracval_N16_Df2p60_kf0p60_rpg1p0_rpgstd1p00_agg1_20260731-042713-965368.dat
vanilla,1.0,2.6,16,0.6,2,2037652437,True,16,0.0,0,3.412011378096689,-3.4925238114334207,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p60__N_16/fracval_N16_Df2p60_kf0p60_rpg1p0_rpgstd1p00_agg2_20260731-042713-969607.dat
vanilla,1.0,2.6,16,0.6,3,742364410,True,16,0.0,0,3.412011378096689,-3.4925238114334207,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p60__N_16/fracval_N16_Df2p60_kf0p60_rpg1p0_rpgstd1p00_agg3_20260731-042713-974159.dat
vanilla,1.0,2.6,16,0.6,4,325351600,True,16,0.0,0,3.4120113780966883,-3.4925238114334456,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p00__Df_2p60__N_16/fracval_N16_Df2p60_kf0p60_rpg1p0_rpgstd1p00_agg4_20260731-042713-981045.dat
vanilla,1.25,1.6,16,1.0,0,1289235100,True,16,0.0,0,5.763295854301074,-5.934863703797359,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_1p60__N_16/fracval_N16_Df1p60_kf1p00_rpg1p0_rpgstd1p25_agg0_20260731-042713-989246.dat
vanilla,1.25,1.4,16,1.4,3,566938257,True,16,0.0,0,5.380131730355859,-3.782459869032934,/home/mar/Development/PyFracVAL/cluster_data/vanilla/sigma_1p25__Df_1p40__N_16/fracval_N16_Df1p40_kf1p40_rpg1p0_rpgstd1p25_agg3_20260731-042713-993600.dat
